"SalePrice","LotArea","YearBuilt","BedroomAbvGr","GarageCars","YrSold"
152000,10400,1976,3,2,2009
185000,28698,1967,3,2,2009
101800,9842,1962,2,2,2007
90000,7200,1949,2,2,2009
94550,7627,1920,4,0,2009
211000,10029,1988,4,2,2007
286000,9660,1998,3,3,2006
140000,11310,1954,2,2,2006
129000,18450,1965,3,2,2007
293200,10200,2007,3,3,2009
93500,10712,1991,3,0,2007
315000,18044,1986,2,2,2007
175000,11084,2004,3,2,2007
224243,7328,2008,2,3,2009
125000,8250,1935,2,1,2006
139000,4447,2003,2,2,2006
131000,8128,1954,3,1,2009
375000,5748,2005,2,2,2006
115000,6120,1925,2,1,2009
157000,10920,1960,2,1,2008
103500,11767,1956,2,1,2009
142500,3675,2005,2,2,2006
158000,15600,1949,3,1,2009
198500,8749,2002,3,2,2009
89000,6000,1921,2,1,2006
155900,4435,2004,1,2,2006
296000,16870,2004,3,3,2009
169990,10237,2005,3,2,2006
129000,9571,1956,3,1,2010
220000,15750,1999,2,2,2009
230000,8000,2002,3,2,2010
128500,10284,1925,1,2,2007
166000,8520,1952,4,2,2010
100000,10800,1885,2,1,2007
187000,7360,2010,2,2,2010
226000,7050,2001,3,2,2007
188700,11988,1934,3,1,2008
176400,3628,2004,1,2,2006
121500,9571,1956,2,1,2009
245500,14963,1996,1,2,2008
195000,11500,1966,2,2,2008
281213,12665,2005,4,3,2007
131000,8885,1983,2,2,2006
181134,8899,2007,3,2,2007
154000,2448,2003,2,2,2008
157500,13014,1978,3,2,2008
119000,3600,1917,3,1,2009
138887,13132,1914,4,1,2006
254000,6240,2006,2,2,2009
230000,14115,1956,2,2,2006
97500,17503,1948,3,1,2010
253000,11824,2006,2,3,2007
169000,11765,1957,3,3,2006
175000,10200,1988,3,2,2008
141000,8814,1968,4,2,2008
127000,9350,1947,3,1,2010
115000,3950,1926,3,1,2009
185000,10400,1980,3,2,2008
137000,11345,1948,4,2,2007
177500,2117,2000,3,2,2010
220000,11896,2008,3,3,2010
250000,11664,2002,3,3,2009
147500,8574,1916,3,2,2009
143500,8010,1958,2,2,2009
63000,9780,1934,4,1,2009
128200,10650,1976,3,1,2010
258000,11631,2004,4,3,2006
99500,7392,1930,2,1,2008
140000,7200,1980,2,2,2007
130000,7134,1955,3,2,2007
129000,11851,1948,3,1,2010
267300,8298,2006,2,2,2007
157500,9360,1968,2,2,2006
130000,9764,1967,3,2,2008
184000,15384,2004,3,2,2008
131750,6240,1930,3,1,2007
192000,8965,2003,3,2,2009
224500,13159,2009,3,2,2009
198000,20693,1971,3,2,2007
144000,2179,1976,3,2,2006
135000,7155,1926,3,1,2007
157500,8340,1977,3,1,2006
110000,7990,1975,3,1,2008
181000,10140,1974,3,2,2006
160000,12508,1940,4,1,2008
297000,10637,2007,3,3,2009
181000,7441,2006,3,2,2007
227875,10207,2007,3,2,2007
128900,4080,1935,3,1,2009
135000,10530,1977,2,2,2006
191000,8750,1996,2,2,2009
236000,9938,1993,3,2,2010
119000,8405,1900,4,1,2008
153000,7010,1935,3,1,2008
210000,8737,1923,3,2,2007
103200,5500,1956,1,0,2007
377500,14892,2006,3,3,2009
144800,9100,1954,2,1,2009
155000,2308,1976,3,2,2007
201000,25485,1960,3,2,2007
135000,10410,1916,3,1,2009
117000,5400,1954,2,1,2006
168500,9020,1964,3,2,2008
133000,9490,1941,3,1,2006
179900,11700,1968,3,2,2006
178000,3435,2004,1,2,2008
