"count","temp","windspeed","month","humidity"
16,9.84,0,1,81
40,9.02,0,1,80
32,9.02,0,1,80
13,9.84,0,1,75
1,9.84,0,1,75
1,9.84,6.0032,1,75
2,9.02,0,1,80
3,8.2,0,1,86
8,9.84,0,1,75
14,13.12,0,1,76
36,15.58,16.9979,1,76
56,14.76,19.0012,1,81
84,17.22,19.0012,1,77
94,18.86,19.9995,1,72
106,18.86,19.0012,1,72
110,18.04,19.9995,1,77
93,17.22,19.9995,1,82
67,18.04,19.0012,1,82
35,17.22,16.9979,1,88
37,17.22,16.9979,1,88
36,16.4,16.9979,1,87
34,16.4,12.998,1,87
28,16.4,15.0013,1,94
39,18.86,19.9995,1,88
17,18.86,19.9995,1,88
17,18.04,16.9979,1,94
9,17.22,19.0012,1,100
6,18.86,12.998,1,94
3,18.86,12.998,1,94
2,17.22,19.9995,1,77
1,16.4,12.998,1,76
8,16.4,15.0013,1,71
20,15.58,15.0013,1,76
53,14.76,15.0013,1,81
70,14.76,16.9979,1,71
93,14.76,19.9995,1,66
75,14.76,8.9981,1,66
59,14.76,12.998,1,76
74,13.94,11.0014,1,81
76,13.94,11.0014,1,71
65,13.94,12.998,1,57
53,14.76,22.0028,1,46
30,13.12,30.0026,1,42
22,12.3,23.9994,1,39
31,10.66,22.0028,1,44
9,9.84,19.9995,1,44
8,9.02,11.0014,1,47
5,9.02,23.9994,1,44
2,8.2,27.9993,1,44
1,6.56,26.0027,1,47
3,6.56,19.0012,1,47
30,5.74,26.0027,1,50
64,5.74,12.998,1,50
154,5.74,19.0012,1,50
88,6.56,26.0027,1,43
44,7.38,16.9979,1,43
51,8.2,22.0028,1,40
61,9.02,19.9995,1,35
61,9.84,19.0012,1,35
77,10.66,19.0012,1,30
72,10.66,16.9979,1,30
76,10.66,16.9979,1,30
157,9.84,15.0013,1,30
157,9.84,7.0015,1,32
110,8.2,0,1,47
52,8.2,7.0015,1,47
52,7.38,8.9981,1,64
20,5.74,8.9981,1,69
12,7.38,7.0015,1,55
5,6.56,7.0015,1,55
2,6.56,7.0015,1,59
1,5.74,8.9981,1,63
2,5.74,6.0032,1,63
4,4.92,7.0015,1,68
36,4.92,7.0015,1,74
94,4.92,8.9981,1,74
179,5.74,11.0014,1,69
100,6.56,15.0013,1,64
42,6.56,22.0028,1,69
57,9.02,19.9995,1,51
78,9.02,11.0014,1,51
97,9.84,12.998,1,56
63,10.66,15.0013,1,52
65,11.48,16.9979,1,52
83,12.3,16.9979,1,49
212,11.48,15.0013,1,48
182,10.66,12.998,1,48
112,9.84,7.0015,1,48
54,9.84,7.0015,1,48
48,9.02,0,1,64
35,9.02,6.0032,1,64
11,8.2,6.0032,1,69
6,8.2,0,1,64
6,6.56,6.0032,1,74
2,6.56,6.0032,1,74
2,9.84,15.0013,1,48
3,9.02,11.0014,1,47
33,8.2,15.0013,1,47
88,7.38,12.998,1,43
195,8.2,19.9995,1,40
115,9.02,22.0028,1,37
57,9.02,22.0028,1,37
46,10.66,22.0028,1,33
79,10.66,22.0028,1,33
71,11.48,19.9995,1,30
62,12.3,12.998,1,28
62,12.3,12.998,1,28
89,12.3,6.0032,1,28
190,9.84,12.998,1,38
169,9.84,8.9981,1,38
132,9.84,7.0015,1,38
89,9.02,11.0014,1,47
43,8.2,12.998,1,51
42,7.38,8.9981,1,55
19,8.2,0,1,47
11,7.38,0,1,55
4,6.56,0,1,64
2,6.56,0,1,64
1,6.56,6.0032,1,64
4,5.74,6.0032,1,69
36,5.74,7.0015,1,63
95,6.56,0,1,59
219,6.56,0,1,59
122,7.38,0,1,51
45,8.2,0,1,47
59,9.02,6.0032,1,44
84,10.66,0,1,35
67,10.66,7.0015,1,35
70,11.48,11.0014,1,36
62,11.48,0,1,36
86,10.66,11.0014,1,38
172,9.02,11.0014,1,51
163,9.02,8.9981,1,51
112,9.02,6.0032,1,55
69,8.2,11.0014,1,51
48,9.02,15.0013,1,55
52,9.02,19.0012,1,51
23,8.2,12.998,1,59
17,8.2,12.998,1,64
7,8.2,15.0013,1,69
1,8.2,15.0013,1,69
1,8.2,8.9981,1,69
5,9.02,0,1,55
34,8.2,0,1,69
84,8.2,8.9981,1,69
210,8.2,16.9979,1,51
134,8.2,19.9995,1,47
63,9.02,22.0028,1,37
67,8.2,15.0013,1,40
59,8.2,16.9979,1,37
73,8.2,19.0012,1,37
50,8.2,16.9979,1,40
72,8.2,11.0014,1,37
87,8.2,11.0014,1,37
187,8.2,0,1,37
123,8.2,6.0032,1,40
95,6.56,6.0032,1,55
51,7.38,7.0015,1,47
39,7.38,8.9981,1,47
36,7.38,11.0014,1,43
15,7.38,11.0014,1,51
25,7.38,11.0014,1,51
16,7.38,6.0032,1,55
16,7.38,0,1,55
7,7.38,11.0014,1,55
1,7.38,11.0014,1,55
5,6.56,11.0014,1,74
2,6.56,11.0014,1,74
9,6.56,7.0015,1,74
15,6.56,7.0015,1,93
20,6.56,7.0015,1,93
61,7.38,11.0014,1,80
62,8.2,26.0027,1,69
98,8.2,23.9994,1,59
102,8.2,22.0028,1,44
95,8.2,32.9975,1,32
74,8.2,30.0026,1,32
76,7.38,30.0026,1,29
69,6.56,36.9974,1,37
55,5.74,19.9995,1,39
30,5.74,16.9979,1,36
28,4.92,16.9979,1,36
37,4.92,23.9994,1,39
34,4.92,26.0027,1,36
22,4.1,30.0026,1,39
25,4.1,26.0027,1,42
12,4.1,31.0009,1,42
11,4.1,31.0009,1,46
4,4.1,27.9993,1,46
1,3.28,12.998,1,53
1,3.28,12.998,1,53
1,4.1,19.0012,1,49
6,3.28,12.998,1,53
10,4.1,19.0012,1,49
19,4.92,35.0008,1,46
49,5.74,26.0027,1,43
49,6.56,35.0008,1,40
83,7.38,30.0026,1,37
75,8.2,30.0026,1,34
72,9.02,31.0009,1,32
82,9.02,23.9994,1,35
92,8.2,30.0026,1,34
62,7.38,26.0027,1,37
48,6.56,22.0028,1,40
41,6.56,22.0028,1,43
38,5.74,16.9979,1,46
20,5.74,27.9993,1,46
15,5.74,19.9995,1,46
6,4.92,12.998,1,50
5,4.92,19.0012,1,50
1,4.92,19.0012,1,50
3,4.92,15.0013,1,50
1,4.92,15.0013,1,50
3,4.1,8.9981,1,54
3,4.1,16.9979,1,54
31,4.92,19.0012,1,50
77,4.92,15.0013,1,50
188,4.92,19.0012,1,50
94,5.74,16.9979,1,50
31,5.74,19.9995,1,50
30,6.56,19.0012,1,47
52,8.2,19.0012,1,40
54,8.2,19.0012,1,40
47,8.2,15.0013,1,40
45,8.2,15.0013,1,40
74,8.2,8.9981,1,40
178,8.2,7.0015,1,40
155,8.2,15.0013,1,40
95,6.56,11.0014,1,47
74,6.56,11.0014,1,50
38,5.74,12.998,1,59
24,5.74,11.0014,1,59
18,5.74,11.0014,1,59
12,5.74,7.0015,1,59
3,5.74,11.0014,1,59
3,6.56,12.998,1,55
6,6.56,8.9981,1,55
27,6.56,8.9981,1,55
99,6.56,0,1,55
217,7.38,6.0032,1,51
130,7.38,11.0014,1,51
54,8.2,11.0014,1,51
35,8.2,8.9981,1,47
57,8.2,7.0015,1,51
52,8.2,6.0032,1,59
63,8.2,6.0032,1,59
47,6.56,6.0032,1,80
76,6.56,15.0013,1,86
136,6.56,15.0013,1,86
95,6.56,7.0015,1,93
51,6.56,0,1,93
32,6.56,12.998,1,93
20,6.56,6.0032,1,86
29,6.56,7.0015,1,93
19,6.56,6.0032,1,93
7,6.56,6.0032,1,86
6,6.56,7.0015,1,86
1,5.74,8.9981,1,86
5,5.74,11.0014,1,86
16,4.92,8.9981,1,93
54,5.74,8.9981,1,69
128,6.56,11.0014,1,59
81,6.56,22.0028,1,59
39,7.38,15.0013,1,55
35,8.2,26.0027,1,51
55,8.2,39.0007,1,47
49,9.02,23.9994,1,44
44,8.2,22.0028,1,47
49,8.2,27.9993,1,47
68,9.02,22.0028,1,44
139,8.2,23.9994,1,47
137,8.2,35.0008,1,47
83,7.38,27.9993,1,47
56,6.56,22.0028,1,50
57,6.56,22.0028,1,55
33,6.56,30.0026,1,55
20,5.74,27.9993,1,59
7,5.74,19.0012,1,59
2,5.74,19.0012,1,50
2,5.74,23.9994,1,50
3,5.74,22.0028,1,50
4,5.74,16.9979,1,50
3,5.74,19.9995,1,50
28,4.92,8.9981,1,54
72,4.92,8.9981,1,54
202,5.74,12.998,1,50
139,5.74,22.0028,1,50
38,6.56,23.9994,1,50
37,8.2,30.0026,1,44
52,8.2,27.9993,1,44
83,9.02,30.0026,1,41
42,9.02,26.0027,1,41
60,9.84,19.9995,1,38
78,9.84,23.9994,1,38
162,8.2,19.0012,1,40
144,8.2,22.0028,1,40
99,6.56,16.9979,1,47
64,6.56,15.0013,1,47
40,5.74,19.9995,1,46
30,5.74,22.0028,1,46
15,4.92,12.998,1,50
14,4.92,12.998,1,50
5,4.1,11.0014,1,54
1,4.1,8.9981,1,54
1,4.1,7.0015,1,54
8,4.1,6.0032,1,54
17,4.1,0,1,54
70,4.1,11.0014,1,74
158,4.92,0,1,68
117,5.74,8.9981,1,69
44,7.38,12.998,1,55
53,7.38,19.0012,1,51
61,8.2,16.9979,1,44
77,9.02,26.0027,1,37
64,9.02,19.0012,1,41
68,9.84,11.0014,1,38
90,9.02,7.0015,1,41
159,9.02,11.0014,1,41
139,8.2,0,1,47
92,6.56,6.0032,1,59
68,7.38,0,1,59
52,6.56,0,1,69
36,6.56,0,1,69
27,7.38,0,1,55
28,7.38,0,1,55
20,6.56,6.0032,1,59
12,6.56,6.0032,1,59
8,6.56,0,1,59
5,6.56,0,1,59
1,6.56,0,1,59
3,5.74,7.0015,1,63
10,5.74,0,1,63
23,5.74,8.9981,1,63
33,6.56,8.9981,1,64
59,7.38,11.0014,1,59
72,8.2,15.0013,1,55
89,9.84,15.0013,1,48
101,11.48,19.9995,1,38
118,12.3,19.0012,1,39
129,13.12,12.998,1,36
128,13.94,12.998,1,34
83,13.12,19.0012,1,36
84,12.3,16.9979,1,45
74,13.12,16.9979,1,39
41,13.12,16.9979,1,39
57,13.12,15.0013,1,39
26,12.3,7.0015,1,42
44,12.3,19.0012,1,45
39,10.66,0,1,56
23,10.66,8.9981,1,56
16,10.66,6.0032,1,56
15,9.02,0,1,69
1,10.66,11.0014,1,56
2,10.66,11.0014,1,56
1,10.66,11.0014,1,56
3,9.84,19.9995,1,56
18,9.02,19.0012,1,55
32,9.02,16.9979,1,51
79,9.02,19.0012,1,51
93,9.84,16.9979,1,44
104,9.84,19.0012,1,41
118,10.66,19.9995,1,35
91,11.48,16.9979,1,36
113,10.66,16.9979,1,38
99,9.84,15.0013,1,38
105,9.02,16.9979,1,37
67,8.2,11.0014,1,40
61,7.38,8.9981,1,47
57,7.38,11.0014,1,47
28,7.38,11.0014,1,51
21,8.2,8.9981,1,49
18,8.2,7.0015,1,40
17,8.2,15.0013,1,47
16,8.2,12.998,1,44
8,7.38,16.9979,1,43
2,7.38,12.998,1,43
3,7.38,8.9981,1,43
1,7.38,11.0014,1,43
5,7.38,12.998,1,43
13,6.56,8.9981,1,50
33,6.56,15.0013,1,47
47,6.56,15.0013,1,47
57,6.56,16.9979,1,50
64,6.56,12.998,1,55
80,7.38,8.9981,1,47
93,7.38,8.9981,1,47
86,7.38,7.0015,1,43
93,8.2,11.0014,1,47
82,8.2,11.0014,1,47
71,8.2,12.998,1,51
92,7.38,16.9979,1,55
60,7.38,12.998,1,59
33,6.56,12.998,1,80
27,6.56,12.998,1,80
13,5.74,16.9979,1,93
4,6.56,19.0012,1,86
3,8.2,22.0028,1,86
22,8.2,15.0013,1,86
28,9.02,11.0014,1,80
35,9.02,11.0014,1,87
61,9.02,12.998,1,87
125,9.02,12.998,1,82
133,9.02,11.0014,1,80
99,9.02,8.9981,1,80
83,9.02,0,1,87
41,9.02,7.0015,1,93
33,9.02,6.0032,1,93
20,9.02,0,1,93
3,9.02,0,1,93
7,9.02,8.9981,1,93
3,9.02,8.9981,1,93
